"NCT ID",Title,Phase,"Date Added",Location,"Immunotherapy-centered Trial","Prior Immunotherapy Allowed","CRC-directed Trial","Program Status",Drugs
NCT03366155,"Hepatic Artery Infusion Pump Chemotherapy With Floxuridine and Dexamethasone in Combination With Systemic Chemotherapy for Patients With Colorectal Cancer Metastatic to the Liver","Phase 2",2017-12-08,"National Institutes of Health Clinical Center, Recruiting, Bethesda, Maryland, 20892, United States
",No,No,Yes,Recruiting,"5FU, cetuximab, FUDR-Dex, Irinotecan, Medtronic SynchroMed II Pump with Codman 3000 Constant Flow Pump Catheter, OneRNA, oxaliplatin, panitumumab"
NCT03368963,"TAS102 in Combination With NAL-IRI in Advanced GI Cancers","Phase 1/Phase 2",2017-12-11,"Emory University Hospital Midtown, Recruiting, Atlanta, Georgia, 30308, United States
Emory University Hospital/Winship Cancer Institute, Recruiting, Atlanta, Georgia, 30322, United States
Emory Saint Joseph's Hospital, Recruiting, Atlanta, Georgia, 30342, United States
",No,Yes,Yes,Recruiting,"Nanoliposomal Irinotecan, Trifluridine and Tipiracil Hydrochloride"
NCT03369223,"An Investigational Immunotherapy Study of BMS-986249 Alone and in Combination With Nivolumab in Solid Cancers That Are Advanced or Have Spread","Phase 1, Phase 2",2017-12-11,"University of Colorado - Cancer Center - PPDS, Completed, Aurora, Colorado, 80045, United States
Rocky Mountain Cancer Centers, Recruiting, Denver, Colorado, 80218, United States
Baptist Health Medical Group Oncology LLC, Recruiting, Miami, Florida, 33176, United States
Johns Hopkins University, Recruiting, Baltimore, Maryland, 21287, United States
John Theurer Cancer Center at Hackensack University Medical Center, Recruiting, Hackensack, New Jersey, 07601, United States
Columbia University Medical Center (Cumc), Recruiting, New York, New York, 10032, United States
Memorial Sloan Kettering Nassau, Recruiting, New York, New York, 10065, United States
University of Cincinnati Medical Center, Recruiting, Cincinnati, Ohio, 45219, United States
Willamette Valley Cancer Institute And Research Center, Recruiting, Eugene, Oregon, 97401, United States
University of Pennsylvania, Recruiting, Philadelphia, Pennsylvania, 19104, United States
Greenville Health System, Recruiting, Greenville, South Carolina, 29605, United States
Texas Oncology-Austin Midtown, Recruiting, Austin, Texas, 78705, United States
Texas Oncology - Baylor Charles A. Simmons Cancer Center, Recruiting, Dallas, Texas, 75246, United States
MD Anderson Cancer Center, Recruiting, Houston, Texas, 77030, United States
Texas Oncology-San Antonio Medical Center, Recruiting, San Antonio, Texas, 78240, United States
Texas Oncology - DFWW, Recruiting, Tyler, Texas, 75702, United States
Virginia Cancer Specialists (Leesburg) - USOR, Recruiting, Leesburg, Virginia, 20176, United States
Virginia Oncology Associates, Recruiting, Norfolk, Virginia, 23502, United States
Northwest Cancer Specialists, Recruiting, Vancouver, Washington, 98684, United States
Local Institution - 0038, Recruiting, Buenos Aires, Distrito Federal, 1121, Argentina
Local Institution - 0052, Recruiting, Caba, Distrito Federal, C1430, Argentina
Local Institution - 0037, Recruiting, Buenos Aires, C1426ANZ, Argentina
Local Institution - 0015, Recruiting, North Sydney, New South Wales, 2060, Australia
Local Institution, Recruiting, Adelaide, South Australia, 5000, Australia
Local Institution, Completed, Frankston, Victoria, 3199, Australia
Austin Hospital, Recruiting, Heidelberg, Victoria, 3084, Australia
Local Institution, Recruiting, Edmonton, Alberta, T6G 1Z2, Canada
Local Institution - 0056, Withdrawn, Ottawa, K1H 8L6, Canada
Local Institution - 0036, Recruiting, Santiago, Metropolitana, 8420383, Chile
Local Institution - 0039, Recruiting, Helsinki, 00029, Finland
Local Institution, Recruiting, Essen, 45147, Germany
Local Institution, Recruiting, Hamburg, 20251, Germany
Local Institution, Recruiting, Heidelberg, 69120, Germany
Local Institution, Withdrawn, Koeln, 50937, Germany
Local Institution, Recruiting, Milano, Italy
Local Institution - 0020, Recruiting, Napoli, 80131, Italy
Local Institution - 0049, Recruiting, Siena, 53100, Italy
Local Institution, Recruiting, Warszawa, Mazowieckie, 02-781, Poland
Local Institution - 0045, Recruiting, Bucharest, 022328, Romania
Local Institution - 0041, Recruiting, Craiova, 200347, Romania
Local Institution - 0022, Recruiting, Madrid, Madrid, Comunidad De, 28027, Spain
Hospital Universitari Germans Trias I Pujol, Recruiting, Badalona-barcelona, 08916, Spain
H. Univ. Vall dHebron, Recruiting, Barcelona, 08035, Spain
Local Institution - 0023, Recruiting, Madrid, 28040, Spain
Local Institution - 0050, Recruiting, Madrid, 28041, Spain
Hospital Universitario Virgen De La Victoria, Recruiting, Malaga, 29010, Spain
Local Institution, Withdrawn, Lausanne, 1011, Switzerland
Local Institution, Withdrawn, Zuerich, 8091, Switzerland
",No,No,No,Recruiting,"Opdivo, BMS-986249, Ipilimumab, Nivolumab"
NCT03370198,"Hepatic Transarterial Administrations of NKR-2 in Patients With Unresectable Liver Metastases From Colorectal Cancer","Phase 1",2017-12-12,"Institut Jules Bordet, Brussels, 1000, Belgium
",Yes,No,Yes,"Active, not recruiting","NKR-2 cells"
NCT03373188,"VX15/2503 and Immunotherapy in Resectable Pancreatic and Colorectal Cancer","Phase 1",2017-12-14,"Emory University Hospital Midtown, Atlanta, Georgia, 30308, United States
Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, 30322, United States
Emory Saint Joseph's Hospital, Atlanta, Georgia, 30342, United States
University of Rochester Medical Center, Rochester, New York, 14642, United States
",Yes,No,Yes,"Active, not recruiting","Opdivo, Yervoy, Anti-SEMA4D Monoclonal Antibody VX15/2503, Ipilimumab, Nivolumab"
NCT03374254,"Safety and Efficacy of Pembrolizumab (MK-3475) Plus Binimetinib Alone or Pembrolizumab Plus Chemotherapy With or Without Binimetinib in Metastatic Colorectal Cancer (mCRC) Participants (MK-3475-651)","Phase 1",2017-12-15,"City of Hope National Medical Center ( Site 0102), Duarte, California, 91010, United States
Anschutz Medical Campus, Anschutz Cancer Pavilion ( Site 0106), Aurora, Colorado, 80045, United States
Yale Cancer Center ( Site 0108), New Haven, Connecticut, 06520, United States
Moffitt Cancer Center ( Site 0111), Tampa, Florida, 33612, United States
University of Chicago ( Site 0105), Chicago, Illinois, 60637, United States
Rutgers Cancer Institute of New Jersey ( Site 0107), New Brunswick, New Jersey, 08903-2681, United States
UPMC Cancer Center/Hillman Cancer Center ( Site 0113), Pittsburgh, Pennsylvania, 15232, United States
Baylor Scott and White ( Site 0110), Temple, Texas, 76508, United States
Seattle Cancer Care Alliance ( Site 0104), Seattle, Washington, 98109, United States
Northwest Medical Specialties, PLLC ( Site 0101), Tacoma, Washington, 98405, United States
Cross Cancer Institute ( Site 0123), Edmonton, Alberta, T6G 1Z2, Canada
Princess Margaret Cancer Centre ( Site 0122), Toronto, Ontario, M5G 2M9, Canada
Centre Hospitalier de l Universite de Montreal - CHUM ( Site 0124), Montreal, Quebec, H2X 3E4, Canada
Jewish General Hospital ( Site 0121), Montreal, Quebec, H3T 1E2, Canada
",Yes,No,Yes,"Active, not recruiting","5-Fluorouracil (5-FU), Binimetinib, Irinotecan, Leucovorin, oxaliplatin, Pembrolizumab"
NCT03376659,"Durvalumab Plus CV301 With Maintenance Chemotherapy in Metastatic Colorectal or Pancreatic Adenocarcinoma","Phase 1/Phase 2",2017-12-18,"Lombardi Comprehensive Cancer Center, Washington, District of Columbia, 20007, United States
",Yes,No,Yes,"Active, not recruiting","Avastin, Imfinzi, Xeloda, Bevacizumab, capecitabine, CV301, durvalumab"
NCT03377361,"An Investigational Immuno-therapy Study Of Nivolumab In Combination With Trametinib With Or Without Ipilimumab In Participants With Previously Treated Cancer of the Colon or Rectum That Has Spread","Phase 1, Phase 2",2017-12-19,"University Of Alabama At Birmingham, Recruiting, Birmingham, Alabama, 35294, United States
Mayo Clinic Hospital, Withdrawn, Phoenix, Arizona, 85054, United States
USC Norris Comprehensive Cancer Center, Recruiting, Los Angeles, California, 90033, United States
Usc, Recruiting, Los Angeles, California, 90033, United States
Ucsf Cancer Center, Active, not recruiting, San Francisco, California, 94158, United States
Poudre Valley Health System, Withdrawn, Fort Collins, Colorado, 80598, United States
Local Institution, Not yet recruiting, North Haven, Connecticut, 06473, United States
UF Health Medical Oncology - Davis Cancer Pavilion, Recruiting, Gainesville, Florida, 32606, United States
Local Institution, Not yet recruiting, Miami, Florida, 33136, United States
Local Institution, Withdrawn, Marietta, Georgia, 30060, United States
Local Institution, Withdrawn, Indianapolis, Indiana, 46202, United States
Sidney Kimmel Comprehensive Cancer Center At Johns Hopkins, Recruiting, Baltimore, Maryland, 21287, United States
Local Institution, Not yet recruiting, Boston, Massachusetts, 02114, United States
Beth Israel Desc. Med Ctr, Withdrawn, Boston, Massachusetts, 02215, United States
Dana Farber Cancer Institute, Withdrawn, Boston, Massachusetts, 02215, United States
Mayo Clinic, Withdrawn, Rochester, Minnesota, 55905, United States
Hattiesburg Clinic Hematology/Oncology, Recruiting, Hattiesburg, Mississippi, 39401, United States
Local Institution, Not yet recruiting, Saint Louis, Missouri, 63110, United States
Laura & Isaac Perlmutter Cancer Ctr at NYU Langone, Withdrawn, New York, New York, 10016, United States
Laura and Isaac Perlmutter Cancer Center at Ambulatory Care Center, Recruiting, New York, New York, 10016, United States
Memorial Sloan Kettering Cancer Center, Withdrawn, New York, New York, 10065, United States
Local Institution, Not yet recruiting, Charlotte, North Carolina, 28262, United States
Local Institution, Withdrawn, Durham, North Carolina, 27710, United States
Ann B. Barshinger Cancer Institute, Recruiting, Lancaster, Pennsylvania, 17604, United States
University Of Pennsylvania, Completed, Philadelphia, Pennsylvania, 19104, United States
Local Institution, Not yet recruiting, Philadelphia, Pennsylvania, 19107, United States
MD Anderson Cancer Center, Withdrawn, Houston, Texas, 77030, United States
Local Institution, Not yet recruiting, Temple, Texas, 76508, United States
University Of Wisconsin, Recruiting, Madison, Wisconsin, 53705, United States
Local Institution, Withdrawn, Capital Federal, Buenos Aires, 1264, Argentina
Local Institution, Withdrawn, Ciudad Autonoma Beunos Aires, Buenos Aires, 1431, Argentina
Local Institution - 0122, Recruiting, Buenos Aires, Distrito Federal, C1096AAS, Argentina
Local Institution, Not yet recruiting, Capital Federal, Distrito Federal, C1428, Argentina
Local Institution, Not yet recruiting, Ciudad Autónoma de Buenos Aires, Distrito Federal, 1181, Argentina
Local Institution, Withdrawn, Viedma, RIO Negro, 8500, Argentina
Local Institution, Not yet recruiting, Viedma, RIO Negro, 8500, Argentina
Local Institution - 0119, Recruiting, Buenos Aires, 1431, Argentina
Local Institution, Withdrawn, Caba, 1199, Argentina
Local Institution, Withdrawn, Caba, 1426, Argentina
Local Institution, Recruiting, Blacktown, New South Wales, 2145, Australia
Local Institution, Withdrawn, Herston, Queensland, Australia
Local Institution, Recruiting, Southport, Queensland, 4215, Australia
Local Institution, Recruiting, Elizabeth Vale, South Australia, 5112, Australia
Local Institution, Recruiting, Clayton, Victoria, 3168, Australia
Local Institution, Recruiting, Heidelberg, Victoria, 3084, Australia
Local Institution, Withdrawn, Brussels, 1000, Belgium
Local Institution, Withdrawn, Brussels, B-1000, Belgium
Local Institution, Withdrawn, Brussel, 1090, Belgium
Local Institution, Withdrawn, Bruxelles, 1200, Belgium
Local Institution, Withdrawn, Edegem, 2650, Belgium
Local Institution, Withdrawn, Gent, 9000, Belgium
Local Institution, Withdrawn, Leuven, 3000, Belgium
Local Institution, Withdrawn, Liège, 4000, Belgium
Local Institution, Not yet recruiting, Woluwe-Saint-Lambert, 1200, Belgium
Local Institution, Not yet recruiting, Edmonton, Alberta, T6G 1Z2, Canada
Local Institution, Withdrawn, Ottawa, Ontario, Canada
Local Institution - 0070, Recruiting, Toronto, Ontario, M5G 2M9, Canada
Local Institution, Not yet recruiting, Toronto, Ontario, M5G1X5, Canada
Local Institution, Withdrawn, Toronto, Ontario, Canada
Local Institution - 0077, Recruiting, Montréal, Quebec, H2X 3E4, Canada
Local Institution, Not yet recruiting, Ottawa, K1H 8L6, Canada
Local Institution, Withdrawn, Quebec, Canada
Local Institution - 0117, Recruiting, Santiago, Metropolitana, 000000, Chile
Local Institution - 0118, Recruiting, Santiago, Metropolitana, 8420383, Chile
Local Institution, Withdrawn, Brno, 625 00, Czechia
Local Institution, Withdrawn, Brno, 656 53, Czechia
Local Institution - 0071, Recruiting, Brno, 65653, Czechia
Local Institution, Withdrawn, Hradec Kralove, 500 05, Czechia
Local Institution - 0073, Recruiting, Hradec Kralove, 50005, Czechia
Fakultni nemocnice Olomouc-Onkologicka klinika, Recruiting, Olomouc, 77900, Czechia
Local Institution, Withdrawn, Cologne, 50937, Germany
Local Institution, Withdrawn, Hamburg, 20251, Germany
Local Institution, Withdrawn, Hannover, 30625, Germany
Local Institution, Withdrawn, Heilbronn, 74078, Germany
Local Institution, Withdrawn, Mannheim, 68163, Germany
Local Institution, Withdrawn, Munich, 81377, Germany
Local Institution, Withdrawn, Ulm, 89081, Germany
Local Institution, Withdrawn, Wuerzburg, 97080, Germany
Local Institution, Not yet recruiting, Catania, 95122, Italy
Local Institution, Withdrawn, Milano, 20133, Italy
Local Institution - 0093, Recruiting, Milan, 20133, Italy
Local Institution, Withdrawn, Modena, 41124, Italy
Local Institution - 0092, Recruiting, Padova, 35128, Italy
Local Institution, Withdrawn, Padova, Padova, Italy
Local Institution - 0094, Recruiting, Rozzano, 20089, Italy
Local Institution, Withdrawn, Moscow, 115478, Russian Federation
Local Institution, Withdrawn, Rostov-on-don, 344037, Russian Federation
Local Institution - 0079, Recruiting, Badalona, 08916, Spain
Local Institution, Recruiting, Barcelona, 08035, Spain
Hospital Gral. Univ. Gregorio Maranon, Recruiting, Madrid, 28007, Spain
Hosp Univer 12 De Octubre, Recruiting, Madrid, 28041, Spain
Hospital Madrid Norte Sanchinarro, Recruiting, Madrid, 28050, Spain
Local Institution, Withdrawn, Madrid, 28050, Spain
COMPLEJO HOSPITALARIO DE NAVARRA-oncologia médica, Recruiting, Pamplona, 31008, Spain
Local Institution, Recruiting, Seville, 41013, Spain
Local Institution, Withdrawn, Aberdeen, Aberdeenshire, AB25 2ZN, United Kingdom
Local Institution, Withdrawn, Bristol, Avon, BS2 8ED, United Kingdom
Local Institution, Withdrawn, London, Greater London, SW17 ORE, United Kingdom
Local Institution, Withdrawn, London, Greater London, SW3 6JJ, United Kingdom
Local Institution, Withdrawn, Coventry, CV2 2DX, United Kingdom
Local Institution, Withdrawn, Manchester, M20 4BX, United Kingdom
Local Institution, Withdrawn, Surrey, sm2 5pt, United Kingdom
",No,Yes,Yes,Recruiting,"Mekinist, Opdivo, Yervoy, Ipilimumab, Nivolumab, Regorafenib, Trametinib"
NCT03388190,"METIMMOX: Colorectal Cancer METastasis - Shaping Anti-tumor IMMunity by OXaliplatin","Phase 2",2018-01-02,"Haukeland University Hospital, Bergen, 5021, Norway
Hospital of Southern Norway, Department of Oncology, Kristiansand, 4604, Norway
Oslo University Hospital, Oslo, 0424, Norway
Akershus University Hospital, Oslo, 1478, Norway
St Olav's Hospital - Trondheim University Hospital, Trondheim, 7006, Norway
",Yes,No,Yes,"Active, not recruiting","Opdivo, FLOX, Nivolumab"
NCT03388632,"Recombinant Interleukin-15 in Combination With Checkpoint Inhibitors Nivolumab and Ipilimumab in People With Refractory Cancers","Phase 1",2018-01-03,"National Institutes of Health Clinical Center, Recruiting, Bethesda, Maryland, 20892, United States
",No,Yes,No,Recruiting,"Opdivo, Yervoy, Ipilimumab, Nivolumab, rhIL-15"
NCT03396445,"Study of MK-5890 as Monotherapy and in Combination With Pembrolizumab (MK-3475) in Adults With Advanced Solid Tumors (MK-5890-001)","Phase 1",2018-01-11,"University of South Alabama, Mitchell Cancer Institute ( Site 0020), Recruiting, Mobile, Alabama, 36604, United States
Florida Cancer Specialists ( Site 0002), Recruiting, Sarasota, Florida, 34232, United States
The West Clinic, P.C. ( Site 0021), Recruiting, Germantown, Tennessee, 38138, United States
FALP-UIDO ( Site 0502), Recruiting, Santiago, Region M. De Santiago, 6900941, Chile
Bradfordhill-Clinical Area ( Site 0501), Recruiting, Santiago, Region M. De Santiago, 8420383, Chile
Soroka Medical Center-Oncology ( Site 0012), Recruiting, Be'er Sheva, 8400000, Israel
Hadassah Ein Kerem Medical Center ( Site 0010), Recruiting, Jerusalem, 9112001, Israel
The Chaim Sheba Medical Center - Oncology Institute ( Site 0001), Recruiting, Ramat Gan, 5265601, Israel
Seoul National University Hospital-Internal Medicine ( Site 0702), Recruiting, Seoul, 03080, Korea, Republic of
Severance Hospital, Yonsei University Health System-Medical oncology ( Site 0701), Recruiting, Seoul, 03722, Korea, Republic of
Antoni van Leeuwenhoek Ziekenhuis ( Site 0003), Recruiting, Amsterdam, Noord-Holland, 1066 CX, Netherlands
Erasmus MC ( Site 0031), Recruiting, Rotterdam, Zuid-Holland, 3015 GD, Netherlands
Hospital Universitario Quiron Madrid ( Site 0043), Recruiting, Pozuelo de Alarcon, Madrid, 28223, Spain
Instituto Catalan de Oncologia - ICO ( Site 0044), Recruiting, Barcelona, 08916, Spain
Hospital Universitario Fundacion Jimenez Diaz ( Site 0041), Recruiting, Madrid, 28040, Spain
Centro Integral Oncologico Clara Campal START Madrid ( Site 0040), Recruiting, Madrid, 28050, Spain
National Taiwan University Hospital-Oncology ( Site 0801), Recruiting, Taipei, 10002, Taiwan
Koo Foundation Sun Yat-Sen Cancer Center ( Site 0802), Recruiting, Taipei, 112, Taiwan
",No,No,No,Recruiting,"Carboplatin, MK-5890, Nab-paclitaxel, Pembrolizumab, Pemetrexed"
NCT03396926,"Pembrolizumab, Capecitabine, and Bevacizumab in Treating Patients With Microsatellite Stable Colorectal Cancer That Is Locally Advanced, Metastatic, or Cannot Be Removed by Surgery","Phase 2",2018-01-11,"University of California, San Francisco, Recruiting, San Francisco, California, 94143, United States
",Yes,No,Yes,Recruiting,"Bevacizumab, capecitabine, Pembrolizumab"
NCT03400332,"A Study of BMS-986253 in Combination With Nivolumab or Nivolumab Plus Ipilimumab in Advanced Cancers","Phase 1/Phase 2",2018-01-17,"Local Institution, Not yet recruiting, Springdale, Arkansas, 72764, United States
Rocky Mountain Cancer Centers, Active, not recruiting, Denver, Colorado, 80218, United States
Local Institution, Withdrawn, Miami Beach, Florida, 33140, United States
Maryland Oncology Hematology P.A., Active, not recruiting, Columbia, Maryland, 21044, United States
Sidney Kimmel Comprehensive Cancer Center At Johns Hopkins, Recruiting, Lutherville, Maryland, 21093, United States
University Of Michigan Health System, Terminated, Ann Arbor, Michigan, 48109, United States
Comprehensive Cancer Centers of Nevada, Terminated, Las Vegas, Nevada, 89169, United States
John Theurer Cancer Center at Hackensack University Medical Center, Recruiting, Hackensack, New Jersey, 07601, United States
Rutgers Cancer Institute of New Jersey, Terminated, New Brunswick, New Jersey, 08901, United States
Icahn School Of Medicine At Mount Sinai, Recruiting, New York, New York, 10029, United States
Columbia University Medical Center (Cumc), Recruiting, New York, New York, 10032, United States
Stephenson Cancer Center, Recruiting, Oklahoma City, Oklahoma, 73104, United States
Willamette Valley Cancer Institute And Research Center, Active, not recruiting, Eugene, Oregon, 97401, United States
Local Institution, Withdrawn, Philadelphia, Pennsylvania, 19111, United States
UPMC Cancer Center, Recruiting, Pittsburgh, Pennsylvania, 15213, United States
Greenville Health System, Active, not recruiting, Greenville, South Carolina, 29605, United States
Texas Oncology-Austin Midtown, Active, not recruiting, Austin, Texas, 78705, United States
Texas Oncology - Baylor Charles A. Simmons Cancer Center, Active, not recruiting, Dallas, Texas, 75246, United States
Local Institution, Not yet recruiting, Fort Worth, Texas, 76104-3927, United States
MD Anderson Cancer Center, Active, not recruiting, Houston, Texas, 77030, United States
Texas Oncology-San Antonio Medical Center, Active, not recruiting, San Antonio, Texas, 78240, United States
Texas Oncology, P.A., Active, not recruiting, Tyler, Texas, 75702, United States
Local Institution, Not yet recruiting, Salt Lake City, Utah, 84112, United States
Virginia Cancer Specialists, PC, Active, not recruiting, Fairfax, Virginia, 22031, United States
Virginia Oncology Associates, Active, not recruiting, Norfolk, Virginia, 23502, United States
Local Institution, Recruiting, Bruxelles, 1200, Belgium
Local Institution, Recruiting, Gent, 9000, Belgium
Local Institution, Recruiting, Edmonton, Alberta, T6G 1Z2, Canada
Local Institution, Recruiting, Vancouver, British Columbia, V5Z 4E6, Canada
Local Institution, Active, not recruiting, Toronto, Ontario, M5G 1Z5, Canada
Local Institution, Not yet recruiting, Toronto, Ontario, M5G 2M9, Canada
Local Institution, Not yet recruiting, Montréal, Quebec, H2X 3E4, Canada
Local Institution, Not yet recruiting, Berlin, 12203, Germany
Local Institution, Withdrawn, Gerlingen, 70839, Germany
Local Institution, Withdrawn, Hamburg, 20246, Germany
Local Institution, Not yet recruiting, Hamburg, 20251, Germany
Local Institution, Withdrawn, Mainz, 55131, Germany
Local Institution, Not yet recruiting, Mainz, 55131, Germany
Local Institution, Not yet recruiting, Tübingen, 72076, Germany
Local Institution, Active, not recruiting, Forlì, 47014, Italy
Local Institution, Not yet recruiting, Milano, 20132, Italy
Istituto Nazionale Tumori Fondazione Pascale, Recruiting, Napoli, 80131, Italy
Local Institution, Recruiting, Rozzano-milano, 20089, Italy
Hospital Universitario Ramon Y Cajal, Recruiting, Madrid, 28034, Spain
Fundacion Jimenez Diaz, Recruiting, Madrid, 28040, Spain
Centro Integral Oncologico Clara Campal, Recruiting, Madrid, 28050, Spain
Hospital Universitario Virgen De La Victoria, Recruiting, Malaga, 29010, Spain
Clinica Universidad de Navarra, Recruiting, Pamplona, 31008, Spain
Hospital Clinico Univ. de Santiago-CHUS, Recruiting, Santiago Compostela, 15706, Spain
Chu Vaudois Lausanne, Recruiting, Lausanne, 1011, Switzerland
Kantonsspital St. Gallen, Recruiting, St.Gallen, 9007, Switzerland
University Hospital Zuerich, Recruiting, Zuerich, 8091, Switzerland
Local Institution, Recruiting, Manchester, Greater Manchester, M20 4BX, United Kingdom
Local Institution, Recruiting, Birmingham, West Midlands, B15 2TH, United Kingdom
",Yes,No,No,Recruiting,"BMS-986253, Ipilimumab, Nivolumab"
NCT03410927,"A Study of TAS0728 in Patients With Solid Tumors With HER2 or HER3 Abnormalities","Phase 1/Phase 2",2018-01-25,"City of Hope Comprehensive Cancer Center, Duarte, California, 91010, United States
Winship Cancer Institute, Atlanta, Georgia, 30322, United States
Icahn School of Medicine at Mount Sinai, New York, New York, 10029-6504, United States
Sarah Cannon, Nashville, Tennessee, 37203, United States
University of Texas - MD Anderson, Houston, Texas, 77030, United States
Institut de Cancerologie Gustavo Roussy, Paris, 94800, France
Hospital Vall D'hebron, Barcelona, 8035, Spain
Sarah Cannon Research Institute - UK, London, W1G 6AD, United Kingdom
",No,Yes,Yes,"Active, not recruiting",TAS0728
NCT03412877,"Administration of Autologous T-Cells Genetically Engineered to Express T-Cell Receptors Reactive Against Neoantigens in People With Metastatic Cancer","Phase 2",2018-01-29,"National Institutes of Health Clinical Center, Recruiting, Bethesda, Maryland, 20892, United States
",No,No,No,Recruiting,"Aldesleukin, Cyclophosphamide, Fludarabine, Individual Patient TCR-Transduced PBL, Pembrolizumab (Keytruda)"
NCT03414983,"An Investigational Immunotherapy Study of Nivolumab With Standard of Care Therapy vs Standard of Care Therapy for First-Line Treatment of Colorectal Cancer That Has Spread","Phase 2/Phase 3",2018-01-30,"Uab Comprehensive Cancer Center, Birmingham, Alabama, 35294-3300, United States
USC Norris Comprehensive Cancer Center, Los Angeles, California, 90033, United States
University Of Colorado, Aurora, Colorado, 80045, United States
Rocky Mountain Cancer Centers, Denver, Colorado, 80218, United States
Yale Cancer Center, New Haven, Connecticut, 06520, United States
Baptist Health Medical Group, Miami, Florida, 33176-2118, United States
Florida Cancer Specialists, Saint Petersburg, Florida, 33705, United States
Illinois Cancer Specialists, Arlington Heights, Illinois, 60005, United States
Investigative Clinical Research Of Indiana, Llc, Indianapolis, Indiana, 46260, United States
Regional Cancer Care Associates, LLC, Bethesda, Maryland, 20817, United States
Beth Israel Desc. Med Ctr, Boston, Massachusetts, 02114, United States
Dana Farber Cancer Institute, Boston, Massachusetts, 02114, United States
Mass General/North Shore Cancer Center for Outpatient Care, Boston, Massachusetts, 02114, United States
Massachusetts General Hospital, Boston, Massachusetts, 02114, United States
Minnesota Oncology Hematology, P.A., Minneapolis, Minnesota, 55404, United States
Mayo Clinic, Rochester, Minnesota, 55905, United States
Oncology Hematology West P.C. dba Nebraska Cancer Specialists, Papillion, Nebraska, 68046, United States
Comprehensive Cancer Centers Of Nevada, Henderson, Nevada, 89074, United States
Broome Oncology, Johnson City, New York, 13790, United States
Laura & Isaac Perlmutter Cancer Ctr at NYU Langone, New York, New York, 10016, United States
Levine Cancer Institute, Charlotte, North Carolina, 28262, United States
Northwest Cancer Specialists, P.C., Portland, Oregon, 97227, United States
University Of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States
Allegheny Health Network, Pittsburgh, Pennsylvania, 15212, United States
Sanford Research, Sioux Falls, South Dakota, 57104, United States
Erlanger Oncology & Hematology - Univ. of TN, Chattanooga, Tennessee, 37403, United States
Tennessee Oncology, PLLC - SCRI - PPDS, Nashville, Tennessee, 37203, United States
Texas Oncology - DFWW, Bedford, Texas, 76022, United States
Texas Oncology-Baylor Charles A Sammons Cancer Center, Dallas, Texas, 75246, United States
Texas Oncology-Fort Worth 12th Ave, Fort Worth, Texas, 76104, United States
Cancer Centers of South Texas, San Antonio, Texas, 78217, United States
Texas Oncology-Tyler, Tyler, Texas, 75702, United States
Virginia Cancer Center, Richmond, Virginia, 23230, United States
Oncology & Hematology Associates Of Southwest Virginia, Inc., Roanoke, Virginia, 24014, United States
University Of Wisconsin, Madison, Wisconsin, 53705, United States
Cross Cancer Institute., Edmonton, Alberta, T6G 1Z2, Canada
Local Institution, Ottawa, Ontario, K1H 8L6, Canada
Local Institution, Toronto, Ontario, M5G 2M9, Canada
Centre Hospitalier De L'Universite De Montreal, Montreal, Quebec, H2X 1P1, Canada
Centre integre universitaire de sante et de service sociaux de l'estrie - CHUS, Sherbrooke, Quebec, J1H 5N4, Canada
Local Institution, Trois-Rivieres, Quebec, G8Z 3R9, Canada
Local Institution, Quebec, G1R 2J6, Canada
Local Institution, Nagoya, Aichi, 4648681, Japan
Local Institution, Kashiwa-shi, Chiba, 2778577, Japan
Local Institution, Sunto-gun, Shizuoka, 4118777, Japan
Fundacion De Investigacion De Diego, San Juan, 00927, Puerto Rico
H. Univ. Vall dHebron, Barcelona, 08035, Spain
Hospital Universitario Ramon Y Cajal, Madrid, 28034, Spain
Hosp. Univ. Puerta De Hierro, Majadahonda - Madrid, 28222, Spain
",Yes,No,Yes,"Active, not recruiting","Bevacizumab, fluorouracil, Leucovorin, Nivolumab, oxaliplatin"
NCT03428126,"Study of Durvalumab (MEDI4736) (Anti-PD-L1) and Trametinib (MEKi) in MSS Metastatic Colon Cancer","Phase 2",2018-02-09,"University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States
",Yes,No,Yes,"Active, not recruiting","durvalumab, Trametinib"
NCT03431948,"Stereotactic Body Radiotherapy (SBRT) Plus Immunotherapy for Cancer","Phase 1",2018-02-13,"University of Chicago Medical Center, Chicago, Illinois, 60637, United States
",Yes,Yes,No,"Active, not recruiting","Opdivo, Cabiralizumab, Nivolumab, Urelumab"
